station_key,station_id,name,road_name,intersection,lga,suburb,post_code,wgs84_latitude,wgs84_longitude,commercial_pct_500m,green_recreation_pct_500m,industrial_pct_500m,institutional_pct_500m,residential_pct_500m,transport_other_pct_500m,landuse_data_missing
57257,66249,Fairfield Street,Fairfield Street,Cockburn Crescent,Fairfield,Fairfield East,2165.0,-33.869324,150.963486,1.4215077311086264,0.12985924644861416,30.67526873530322,0.0,63.59067166360425,4.182692623535299,False
57052,50250,Hart Drive,Hart Drive,Mahony Road,Parramatta,Constitution Hill,2145.0,-33.797592,150.975433,0.0,0.0,0.0,0.0,100.0,0.0,False
56738,22001,Military Road,Military Road,Melrose Street,Mosman,Mosman,2088.0,-33.825577,151.233261,5.451136321462897,0.012507017289996468,0.18348807377546705,0.0,94.23409513882355,0.1187734486480812,False
55393,02384,Cleveland Street,Cleveland Street,Woodburn Street,Sydney,Redfern,2016.0,-33.888908,151.200851,18.981399439928946,2.6797119301616394,0.0,1.3034424149612545,45.42437337592397,31.61107283902419,False
99990011,7104-PR,Broughton Street,Broughton Street,Moore Street,Campbelltown,Campbelltown,2560.0,-34.066612,150.81958,0.0,0.0,0.0,0.0,100.0,0.0,False
57110,53029,Mona Vale Road,Mona Vale Road,Garrick Road,Ku-Ring-Gai,St Ives,2075.0,-33.725666,151.168045,0.0,2.5439240823073392,0.0,1.7020512444238054,95.28881047331366,0.4652141999552035,False
55383,02377,George Street,George Street,Little Regent Street,Sydney,Ultimo,2007.0,-33.883865,151.202652,21.631316953057105,3.6139872017409687,0.7875750867866751,0.011137252768746372,5.160497101847766,68.79548640379873,False
15252030,7115,Canterbury Road,Canterbury Road,King Georges Road,Canterbury,Wiley Park,2195.0,-33.929409,151.072479,0.07843889096522882,0.019321288984950617,2.5543834950941307,0.0,97.3478563249557,0.0,False
57268,68025,Great Western Highway,Great Western Highway,Liverpool-Parramatta Transitway,Holroyd,South Wentworthville,2145.0,-33.816696,150.976623,2.0403723821151756,0.1659406080812651,0.0,0.5306691565139133,97.26301785328964,0.0,False
56602,100001,Cambridge Street,Cambridge Street,Carre Avenue,Fairfield,Canley Heights,2166.0,-33.878181,150.924942,0.0,0.0,0.0,0.0,100.0,0.0,False
15286014,7168,Great Western Highway,Great Western Highway,Reservoir Road,Blacktown,Blacktown,2148.0,-33.798195,150.897125,6.65123648285898,6.501648182438009,22.499609600196848,0.0,64.34750573450616,0.0,False
57104,53003,Pacific Highway,Pacific Highway,Blytheswood Avenue,Ku-Ring-Gai,Warrawee,2074.0,-33.729225,151.122208,1.9037159910423855,0.0,0.0,0.0,93.27354406715116,4.822739941806447,False
56959,43032,Henry Lawson Drive,Henry Lawson Drive,Wainwright Avenue,Bankstown,Padstow,2211.0,-33.963131,151.04187,0.0,0.18281484424518,0.06316430315097486,0.0,99.75402085260384,0.0,False
57160,57025,Forest Way,Forest Way,Neridah Avenue,Warringah,Belrose,2085.0,-33.725773,151.219788,1.150668781175577,0.030643840191565287,0.09585396462127153,0.0,98.72283341401157,0.0,False
55385,02379,Western Distributor,Western Distributor,Allen Street,Sydney,Pyrmont,2009.0,-33.8741,151.19487,25.328675272612163,0.7824922666907702,6.70924935054967,0.0,51.887045333066716,15.292537777080675,False
57012,49002,Parramatta Road,Parramatta Road,Harbord Street,Auburn,Auburn,2144.0,-33.835732,151.023056,14.826412488818505,1.4167076410457053,69.29497445053741,0.0,0.0,14.461905419598384,False
57453,74453,Epping Road,Epping Road,Bridge Street,Parramatta,Epping,2121.0,-33.773907,151.082626,12.476942975667669,0.5619935869731815,0.0,0.0,81.83916097658155,5.121902460777606,False
57358,7159RLC,Cambridge Street,Cambridge Street,Joseph Street,Fairfield,Canley Heights,2166.0,-33.888176,150.922974,0.8512826706283896,0.0,0.0,0.0,99.14871732937162,0.0,False
15648001,7179,Jersey Road,Jersey Road,Old Prospect Road,Holroyd,South Wentworthville,2145.0,-33.817272,150.962784,0.48526390963575944,4.199972699745456,9.156121921070227,0.7330671412344119,84.9848964263432,0.44067790197095374,False
57503,85019,Camden Valley Way,Camden Valley Way,Heath Road,Camden,Leppington,2179.0,-33.976528,150.808868,0.0,0.0,0.0,0.0,0.0,0.0,True
15934015,T0485,Great Western Highway,Great Western Highway Hvcs,Carawatha Road,Blue Mountains,Blackheath,2785.0,-33.616264,150.273102,0.0,0.0,0.0,0.0,0.0,0.0,True
55411,02396,King Street,King Street,Newman Street,Marrickville,Newtown,2042.0,-33.898334,151.178238,18.129169831169083,2.8646666508652876,0.0,1.5985457660211457,77.21545088462908,0.19216686731539753,False
57423,74077,Junction Road,Junction Road,Edgeworth David Avenue,Hornsby,Wahroonga,2076.0,-33.708252,151.116745,0.0,0.0,0.5333378757263855,0.0,99.46509759628344,0.0015645279901822509,False
57234,66021,Woodville Road,Woodville Road,Allowrie Road,Fairfield,Villawood,2163.0,-33.888622,150.97377,0.0,0.0,0.0,0.0,100.0,0.0,False
57439,74228,New Line Road,New Line Road,Tennyson Close,Hornsby,Cherrybrook,2126.0,-33.723019,151.036606,0.0,0.0,0.0,0.0,100.0,0.0,False
57094,51233,Epping Road,Epping Road,Yarwood Street,Ryde,Marsfield,2122.0,-33.774441,151.103638,2.9677832386695595,0.0,0.0,0.0,96.25174749949701,0.7804692618334487,False
55394,02385,Regent Street,Regent Street,James Street,Sydney,Redfern,2016.0,-33.889572,151.201599,18.294117261107136,2.4880157579165956,0.0,1.2495422684401642,48.242092065209306,29.726232647326782,False
56715,20067,City-West Link Road,City-West Link Road,Boomerang Street,Ashfield,Haberfield,2045.0,-33.869892,151.145019,0.0,0.11611083159274727,0.0,0.0,99.88388916840725,0.0,False
56744,23001,Princes Highway,Princes Highway,Brodie Spark Drive,Rockdale,Wolli Creek,2205.0,-33.929401,151.156433,10.321742007799918,7.597947204026538,17.162609271499992,0.0,59.08946865504902,5.828232861624537,False
57041,50183,Briens Road,Briens Road,Kleins Road,Parramatta,Northmead,2152.0,-33.793552,150.993912,4.022649822651015,0.0,0.6336061589836354,0.0,93.0966997390494,2.247044279315951,False
57155,57011,Mona Vale Road,Mona Vale Road,Forest Way,Warringah,Belrose,2085.0,-33.701229,151.211594,85.7443438343026,5.674409617188107,8.5812465485093,0.0,0.0,0.0,False
57097,52014,Lane Cove Road,Lane Cove Road,Ryde Road,Ku-Ring-Gai,West Pymble,2073.0,-33.775299,151.135406,0.0,0.4843645659266564,0.0,0.0,99.51563543407335,0.0,False
57108,53018,Pacific Highway,Pacific Highway,Telegraph Road,Ku-Ring-Gai,Pymble,2073.0,-33.742207,151.139358,2.0942987780814795,0.014265434898858077,0.0,0.3066693710724133,91.00375036611464,6.581016049832615,False
57005,47024,Parramatta Road,Parramatta Road,Junction Street,Auburn,Auburn,2144.0,-33.83889,151.029022,30.55462224545738,0.0,57.740479190900196,0.0,11.704898563642425,0.0,False
15252028,7112,Silverwater Road,Silverwater Road,Western Motorway,Auburn,Auburn,2144.0,-33.843338,151.043411,9.23753398502393,0.0,18.21734278204096,0.0,72.54512323293511,0.0,False
57264,68020,Church Street,Church Street,Meehan Street,Holroyd,Granville,2142.0,-33.826282,151.004715,21.239704674366035,0.0,4.110112552266582,0.0,61.57765749064914,13.072525282718244,False
56658,16088,Foreshore Road,Foreshore Road,Fremlins Lane,Botany Bay,Botany,2019.0,-33.958763,151.203247,0.4454053282863582,1.256448074961667,64.72200687761911,0.0,32.13542901503909,1.4407107040937863,False
57367,72026,Old Northern Road,Old Northern Road,Ambleside Drive,The Hills,Castle Hill,2154.0,-33.744923,150.996368,0.0,4.329903279936268,0.0,0.0,95.67009672006373,0.0,False
55322,02038,Cleveland Street,Cleveland Street,Pitt Street,Sydney,Surry Hills,2010.0,-33.889385,151.203934,17.22661936814128,1.397862400901114,0.0,1.184091120047939,44.05170611706239,36.139720993847284,False
57359,7161RLC,Pennant Hills Road,Pennant Hills Road,Beecroft Road,Hornsby,Pennant Hills,2120.0,-33.740406,151.060989,0.0,0.0,0.8674094994797708,0.23885157316951844,98.89373892735071,0.0,False
55425,02414,Pyrmont Street,Pyrmont Street,Murray Street,Sydney,Pyrmont,2009.0,-33.872505,151.196762,27.2642677822729,0.5766050218445458,5.4841334746117205,0.0,48.28195550799135,18.39303821327948,False
56856,32012,Burns Bay Road,Burns Bay Road,Martin Street,Lane Cove,Linley Point,2066.0,-33.829678,151.146133,0.464408020788188,1.3373168850856842,0.0,0.0,98.19827509412613,0.0,False
57186,62001,Hume Highway,Hume Highway,Kendall Drive,Liverpool,Casula,2170.0,-33.956684,150.891098,8.61370804468273,0.0,0.0,0.0,91.38629195531728,0.0,False
57342,71082,Carlisle Avenue,Carlisle Avenue,Beames Avenue,Blacktown,Mount Druitt,2770.0,-33.769043,150.816498,0.0,0.0,0.0,0.0,91.00302377444926,8.996976225550739,False
