station_key,station_id,name,road_name,intersection,lga,suburb,post_code,wgs84_latitude,wgs84_longitude,poi_food_count_500m,poi_education_count_500m,poi_healthcare_count_500m,poi_public_transport_count_500m,poi_leisure_count_500m,poi_tourism_count_500m,poi_shop_count_500m,poi_data_missing
57257,66249,Fairfield Street,Fairfield Street,Cockburn Crescent,Fairfield,Fairfield East,2165.0,-33.869324,150.963486,2,2,0,9,5,0,1,False
57052,50250,Hart Drive,Hart Drive,Mahony Road,Parramatta,Constitution Hill,2145.0,-33.797592,150.975433,0,1,0,9,5,0,0,False
56738,22001,Military Road,Military Road,Melrose Street,Mosman,Mosman,2088.0,-33.825577,151.233261,11,2,5,15,42,0,14,False
55393,02384,Cleveland Street,Cleveland Street,Woodburn Street,Sydney,Redfern,2016.0,-33.888908,151.200851,126,10,8,36,87,53,116,False
99990011,7104-PR,Broughton Street,Broughton Street,Moore Street,Campbelltown,Campbelltown,2560.0,-34.066612,150.81958,0,0,0,0,0,0,0,True
57110,53029,Mona Vale Road,Mona Vale Road,Garrick Road,Ku-Ring-Gai,St Ives,2075.0,-33.725666,151.168045,0,5,0,11,178,0,0,False
55383,02377,George Street,George Street,Little Regent Street,Sydney,Ultimo,2007.0,-33.883865,151.202652,180,12,9,111,84,98,132,False
15252030,7115,Canterbury Road,Canterbury Road,King Georges Road,Canterbury,Wiley Park,2195.0,-33.929409,151.072479,1,0,0,12,11,0,4,False
57268,68025,Great Western Highway,Great Western Highway,Liverpool-Parramatta Transitway,Holroyd,South Wentworthville,2145.0,-33.816696,150.976623,5,1,1,23,9,0,13,False
56602,100001,Cambridge Street,Cambridge Street,Carre Avenue,Fairfield,Canley Heights,2166.0,-33.878181,150.924942,0,0,0,1,1,0,0,False
15286014,7168,Great Western Highway,Great Western Highway,Reservoir Road,Blacktown,Blacktown,2148.0,-33.798195,150.897125,0,0,0,4,9,0,3,False
57104,53003,Pacific Highway,Pacific Highway,Blytheswood Avenue,Ku-Ring-Gai,Warrawee,2074.0,-33.729225,151.122208,0,1,0,8,50,0,0,False
56959,43032,Henry Lawson Drive,Henry Lawson Drive,Wainwright Avenue,Bankstown,Padstow,2211.0,-33.963131,151.04187,0,0,0,6,5,0,0,False
57160,57025,Forest Way,Forest Way,Neridah Avenue,Warringah,Belrose,2085.0,-33.725773,151.219788,0,2,0,18,24,0,1,False
55385,02379,Western Distributor,Western Distributor,Allen Street,Sydney,Pyrmont,2009.0,-33.8741,151.19487,37,3,5,34,43,21,64,False
