station_key,station_id,name,road_name,intersection,lga,suburb,post_code,device_type,wgs84_latitude,wgs84_longitude
57257,66249,Fairfield Street,Fairfield Street,Cockburn Crescent,Fairfield,Fairfield East,2165.0,Tirtl,-33.869324,150.963486
57052,50250,Hart Drive,Hart Drive,Mahony Road,Parramatta,Constitution Hill,2145.0,Excel Lpl,-33.797592,150.975433
56738,22001,Military Road,Military Road,Melrose Street,Mosman,Mosman,2088.0,Excel Lpl,-33.825577,151.233261
55393,02384,Cleveland Street,Cleveland Street,Woodburn Street,Sydney,Redfern,2016.0,Trafficorder Dual Tube Classifier,-33.888908,151.200851
99990011,7104-PR,Broughton Street,Broughton Street,Moore Street,Campbelltown,Campbelltown,2560.0,Tirtl,-34.066612,150.81958
57110,53029,Mona Vale Road,Mona Vale Road,Garrick Road,Ku-Ring-Gai,St Ives,2075.0,Excel Lpl,-33.725666,151.168045
55383,02377,George Street,George Street,Little Regent Street,Sydney,Ultimo,2007.0,Trafficorder Loop Counter,-33.883865,151.202652
15252030,7115,Canterbury Road,Canterbury Road,King Georges Road,Canterbury,Wiley Park,2195.0,Tirtl,-33.929409,151.072479
57268,68025,Great Western Highway,Great Western Highway,Liverpool-Parramatta Transitway,Holroyd,South Wentworthville,2145.0,Tirtl,-33.816696,150.976623
56602,100001,Cambridge Street,Cambridge Street,Carre Avenue,Fairfield,Canley Heights,2166.0,Tirtl,-33.878181,150.924942
15286014,7168,Great Western Highway,Great Western Highway,Reservoir Road,Blacktown,Blacktown,2148.0,Tirtl,-33.798195,150.897125
57104,53003,Pacific Highway,Pacific Highway,Blytheswood Avenue,Ku-Ring-Gai,Warrawee,2074.0,Tirtl,-33.729225,151.122208
56959,43032,Henry Lawson Drive,Henry Lawson Drive,Wainwright Avenue,Bankstown,Padstow,2211.0,Trafficorder Loop Counter,-33.963131,151.04187
57160,57025,Forest Way,Forest Way,Neridah Avenue,Warringah,Belrose,2085.0,Excel Lpl,-33.725773,151.219788
55385,02379,Western Distributor,Western Distributor,Allen Street,Sydney,Pyrmont,2009.0,Trafficorder Loop Counter,-33.8741,151.19487
57012,49002,Parramatta Road,Parramatta Road,Harbord Street,Auburn,Auburn,2144.0,Trafficorder Loop Counter,-33.835732,151.023056
57453,74453,Epping Road,Epping Road,Bridge Street,Parramatta,Epping,2121.0,Trafficorder Loop Counter,-33.773907,151.082626
57358,7159RLC,Cambridge Street,Cambridge Street,Joseph Street,Fairfield,Canley Heights,2166.0,Tirtl,-33.888176,150.922974
15648001,7179,Jersey Road,Jersey Road,Old Prospect Road,Holroyd,South Wentworthville,2145.0,Tirtl,-33.817272,150.962784
57503,85019,Camden Valley Way,Camden Valley Way,Heath Road,Camden,Leppington,2179.0,Trafficorder Loop Counter,-33.976528,150.808868
15934015,T0485,Great Western Highway,Great Western Highway Hvcs,Carawatha Road,Blue Mountains,Blackheath,2785.0,Tirtl,-33.616264,150.273102
55411,02396,King Street,King Street,Newman Street,Marrickville,Newtown,2042.0,Trafficorder Loop Counter,-33.898334,151.178238
57423,74077,Junction Road,Junction Road,Edgeworth David Avenue,Hornsby,Wahroonga,2076.0,Trafficorder Loop Counter,-33.708252,151.116745
57234,66021,Woodville Road,Woodville Road,Allowrie Road,Fairfield,Villawood,2163.0,Excel Lpl,-33.888622,150.97377
57439,74228,New Line Road,New Line Road,Tennyson Close,Hornsby,Cherrybrook,2126.0,Tirtl,-33.723019,151.036606
57094,51233,Epping Road,Epping Road,Yarwood Street,Ryde,Marsfield,2122.0,Excel Lpl,-33.774441,151.103638
55394,02385,Regent Street,Regent Street,James Street,Sydney,Redfern,2016.0,Trafficorder Dual Tube Classifier,-33.889572,151.201599
56715,20067,City-West Link Road,City-West Link Road,Boomerang Street,Ashfield,Haberfield,2045.0,Trafficorder Loop Counter,-33.869892,151.145019
56744,23001,Princes Highway,Princes Highway,Brodie Spark Drive,Rockdale,Wolli Creek,2205.0,Trafficorder Dual Tube Classifier,-33.929401,151.156433
57041,50183,Briens Road,Briens Road,Kleins Road,Parramatta,Northmead,2152.0,Trafficorder Loop Counter,-33.793552,150.993912
